,name,github_id,labels,category,description,homepage,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,trending
0,open3d,isl-org/Open3D,"['cpp', 'python', 'mit']",libraries-frameworks,An open-source library that supports rapid development of software that deals with 3D data.,{},15316.0,15316.0,286.0,8,False,1.0,
1,mujoco,google-deepmind/mujoco,,simulators,"Multi-Joint dynamics with Contact (MuJoCo) is a physics engine for fast, accurate robot simulation and optimization.",{},5708.0,5708.0,130.0,7,False,1.0,-30.0
2,rerun,rerun-io/rerun,"['mit', 'apache']",libraries-frameworks,An SDK for logging computer vision and robotics data paired with a visualizer for exploring that data over time.,{},326.0,326.0,178.0,6,False,1.0,-28.0
3,lerobot,huggingface/lerobot,"['python', 'apache']",libraries-frameworks,"Developed by Hugging Face, LeRobot provides models, datasets and tools for real-world robotics in PyTorch.",{},381.0,381.0,252.0,6,False,1.0,
4,airsim,microsoft/AirSim,['mit'],simulators,"A simulator for drones, cars and more, built on Unreal Engine and made by Microsoft.",{},450.0,450.0,247.0,6,False,2.0,
5,robotics-toolbox-python,petercorke/robotics-toolbox-python,"['python', 'mit']",libraries-frameworks,"This toolbox brings robotics-specific functionality to Python, leveraging Pythons advantages of portability, ubiquity..",{},309.0,309.0,32.0,5,False,2.0,
6,open-mct,nasa/openmct,['apache'],gui-tools,Open MCT (Open Mission Control Technologies) is a next-generation mission control framework for visualization of data..,{},179.0,179.0,107.0,4,False,1.0,
7,dora,dora-rs/dora,['apache'],middleware,Middleware designed to streamline and simplify the creation of AI-based robotic applications.,{},65.0,65.0,112.0,4,False,1.0,
8,webviz,cruise-automation/webviz,"['ros', 'apache']",ros,A web based application for playback and visualization of ROS bag files made by Cruise Automation.,{},49.0,49.0,28.0,4,False,1.0,
9,ardupilot,ArduPilot/ardupilot,,drones,"Open Source autopilot for multirotors, fixed wings, rovers, boats and submarines.",{},,,1353.0,3,False,1.0,-30.0
10,px4,PX4/PX4-Autopilot,,drones,PX4 is an open source flight control software for drones and other unmanned vehicles.,{},,,1155.0,3,False,1.0,-32.0
11,pythonrobotics,AtsushiSakai/PythonRobotics,"['python', 'mit']",education,Python sample codes for robotics algorithms.,{},24.0,24.0,147.0,3,False,1.0,
12,kalman-and-bayesian-filters,rlabbe/Kalman-and-Bayesian-Filters-in-Python,['python'],education,"Kalman Filter book using Jupyter Notebook focusing on building intuition and experience, not formal proofs.",{},23.0,23.0,110.0,3,False,1.0,
13,awesome-ros2,fkromer/awesome-ros2,,other,Awesome ROS 2 list.,{},10.0,10.0,44.0,3,False,1.0,
14,paparazzi,paparazzi/paparazzi,,drones,Open-source drone hardware and software project encompassing autopilot systems and ground station software for..,{},,,174.0,2,False,3.0,
15,gtsam,borglab/gtsam,['cpp'],libraries-frameworks,"A BSD-licensed C++ library that implements sensor fusion for robotics and computer vision applications, including..",{},,,324.0,2,False,2.0,
16,behaviortree-cpp,BehaviorTree/BehaviorTree.CPP,"['cpp', 'mit']",ros,Behavior Trees Library in C++.,{},,,160.0,2,False,2.0,
17,plotjuggler,facontidavide/PlotJuggler,['ros'],ros,"QT5 based application to display time series in plots, using an intuitive drag and drop interface.",{},,,149.0,2,False,2.0,
18,roslibjs,RobotWebTools/roslibjs,"['ros', 'javascript']",ros,A standard ROS JavaScript library.,{},3.0,3.0,83.0,2,False,2.0,
19,machine-learning-course,instillai/machine-learning-course,['python'],education,Freely available Machine Learning course using Python developed by Machine Learning Mindset.,{},23.0,23.0,10.0,2,False,3.0,
20,turtlebot,turtlebot/turtlebot,['ros'],open-source-robots,"A popular, low-cost, personal robot kit with open-source software, created at Willow Garage.",{},,,52.0,1,False,1.0,
21,nasa-open-source-rover,nasa-jpl/open-source-rover,['apache'],open-source-robots,"A build-it-yourself, 6-wheel rover based on the rovers on Mars.",{},,,52.0,1,False,1.0,
22,donkeycar,autorope/donkeycar,"['python', 'mit']",open-source-robots,"DIY self-driving platform for small scale cars. Requires an R/C car, Raspberry Pi and is programmed in Python.",{},,,140.0,1,False,1.0,
23,openbot,intel-isl/OpenBot,['mit'],open-source-robots,$50 robot car that interfaces with smartphone for high level control.,{},,,40.0,1,False,1.0,
24,so-arm100,TheRobotStudio/SO-ARM100,['apache'],open-source-robots,Open Source 3D printable low-cost robot arm for accessible end-to-end learning.,{},,,36.0,1,False,1.0,
25,ceres-solver,ceres-solver/ceres-solver,['cpp'],libraries-frameworks,"An open source C++ library for modeling and solving large, complicated optimization problems, used for bundle..",{},,,121.0,1,False,2.0,
26,videoflow,videoflow/videoflow,"['python', 'mit']",libraries-frameworks,Python framework that facilitates the quick development of complex video analysis applications in a multiprocessing..,{},6.0,6.0,15.0,1,False,2.0,
27,openpose,CMU-Perceptual-Computing-Lab/openpose,,libraries-frameworks,"Real-time multi-person keypoint detection library for body, face, hands, and foot estimation.",{},,,109.0,1,False,2.0,
28,ompl,ompl/ompl,['cpp'],libraries-frameworks,OMPL consists of many state-of-the-art sampling-based motion planning algorithms.,{},,,123.0,1,False,2.0,
29,pinocchio,stack-of-tasks/pinocchio,['cpp'],libraries-frameworks,A fast and flexible implementation of Rigid Body Dynamics algorithms and their analytical derivatives.,{},,,121.0,1,False,2.0,
30,exotica,ipab-slmc/exotica,"['cpp', 'python']",libraries-frameworks,"A general Optimisation Toolset for Robotics platforms, written in C++ with bindings for Python.",{},,,23.0,1,False,2.0,
31,crocoddyl,loco-3d/crocoddyl,['cpp'],libraries-frameworks,An optimal control library for robot control under contact sequence based on various efficient Differential Dynamic..,{},,,62.0,1,False,2.0,
32,fields2cover,Fields2Cover/Fields2Cover,['cpp'],libraries-frameworks,A modular and extensible Coverage Path Planning library.,{},,,26.0,1,False,2.0,
33,cartographer,googlecartographer/cartographer,"['cpp', 'apache']",libraries-frameworks,"2D and 3D SLAM library, supports multiple platforms and sensor configurations.",{},,,57.0,1,False,2.0,
34,hector-slam,tu-darmstadt-ros-pkg/hector_slam,['ros'],libraries-frameworks,Hector SLAM contains ROS packages related to performing SLAM in unstructured environments.,{},,,28.0,1,False,2.0,
35,slam-toolbox,SteveMacenski/slam_toolbox,['ros'],libraries-frameworks,A ROS package for 2D lifelong mapping and localization in potentially massive maps.,{},,,88.0,1,False,2.0,
36,webots,cyberbotics/webots,,simulators,"Free and open source simulator that includes a large collection of robots, sensors, actuators and objects models.",{},,,145.0,1,False,3.0,-27.0
37,pyrobosim,sea-bass/pyrobosim,['python'],simulators,ROS2 enabled 2D mobile robot simulator for behavior prototyping.,{},9.0,9.0,20.0,1,False,3.0,
38,ros,ros2/ros2,,middleware,The Robot Operating System (ROS) is a set of software libraries and tools that help you build robot applications.,{},,,63.0,1,False,2.0,
39,yarp,robotology/yarp,,middleware,Yet Another Robot Platform middleware for robotics.,{},,,119.0,1,False,2.0,
40,copper,copper-project/copper-rs,['apache'],middleware,Copper is a user-friendly runtime engine for creating fast and reliable robots - what a game engine is to games.,{},,,34.0,1,False,2.0,
41,astrobee,nasa/astrobee,"['ros', 'apache']",ros,NASA Astrobee Robot Software.,{},,,22.0,1,False,3.0,
42,aerostack2,aerostack2/aerostack2,"['ros', 'cpp']",ros,Framework that helps developers design and build the control architecture of aerial robotic systems.,{},,,24.0,1,False,3.0,
43,web-video-server,RobotWebTools/web_video_server,['ros'],ros,HTTP Streaming of ROS Image Topics in Multiple Formats.,{},,,29.0,1,False,3.0,
44,wireviz,formatc1702/WireViz,['gpl'],electronics,"A tool for documenting cables, wiring harnesses and connector pinouts by describing them in YAML format.",{},,,23.0,1,False,1.0,
45,ros-robotics-companies,vmayoral/ros-robotics-companies,,other,A list of companies using ROS 1 or ROS 2.,{},,,79.0,1,False,2.0,
46,kiloreux-awesome-robotics,kiloreux/awesome-robotics,,other,Awesome robotics list by kiloreux.,{},,,34.0,1,False,2.0,
47,jslee02-awesome-robotics-libraries,jslee02/awesome-robotics-libraries,,other,Awesome robotics libraries list by jslee02.,{},,,42.0,1,False,2.0,
48,awesome-robotic-tooling,Ly0n/awesome-robotic-tooling,,other,Awesome robotic tooling list.,{},,,30.0,1,False,2.0,
49,awesome-llm-robotics,GT-RIPL/Awesome-LLM-Robotics,,other,Awesome LLM robotics list.,{},,,73.0,1,False,2.0,
50,sawppy-rover,Roger-random/Sawppy_Rover,['mit'],open-source-robots,A 3D printed motorized model of Mars rovers Curiosity and Mars 2020 that can be built on $500 budget.,{},,,10.0,0,False,,
51,morph,roaldlemmens/morph,['gpl'],open-source-robots,An affordable modular differential drive platform for open robotics development for hackers.,{},,,,0,False,,
52,linorobot,linorobot/linorobot,['ros'],open-source-robots,"ROS Compatible ground robots (2WD, 4WD, Ackermann Steering, Mecanum Drive).",{},,,5.0,0,False,,
53,mushr,prl-mushr/mushr,['ros'],open-source-robots,An open-source robotic hardware and software platform for learning and researching AI in autonomous vehicles and..,{},,,13.0,0,False,,
54,scuttle,scuttlerobot/SCUTTLE,['mit'],open-source-robots,Open source differential-drive robot designed to support teaching within Multidisciplinary Engineering Technology.,{},,,12.0,0,False,,
55,mars-rover,jakkra/Mars-Rover,"['cpp', 'mit']",open-source-robots,Curiosity/Perseverance inspired Rover with open source hardware and software.,{},,,,0,False,,
56,openmower,ClemensElflein/OpenMower,,open-source-robots,"An open-source, RTK-GPS enabled mower project.",{},,,15.0,0,False,,
57,makerspet-loki,makerspet/makerspet_loki,['apache'],open-source-robots,A $100 open-source ROS2 home pet robot with 3D-printed design and micro-ROS on Arduino ESP32.,{},,,4.0,0,False,,
58,lekiwi,SIGRobotics-UIUC/LeKiwi,['apache'],open-source-robots,Small omnidirectional robot with an SO-ARM100 attached to it.,{},,,10.0,0,False,,
59,dexter,HaddingtonDynamics/Dexter,['gpl'],open-source-robots,Open Source industrial robotics arm project.,{},,,6.0,0,False,,
60,reachy,pollen-robotics/reachy,,open-source-robots,A 7-DOF prosthesis robotic arm developed by Pollen Robotics.,{},,,9.0,0,False,,
61,openarm,,,open-source-robots,"A bimanual manipulator setup with a BOM cost of around $6,500 and 7 DoF and 6kg payload per arm.",,,,,0,False,,
62,stanford-doggo,Nate711/StanfordDoggoProject,['mit'],open-source-robots,Stanford Doggo is a highly agile robot designed to provide an accessible platform for legged robot research.,{},,,3.0,0,False,,
63,mjbots-quad-a0,mjbots/moteus,['apache'],open-source-robots,"The mjbots quad A0 is a small dynamic quadruped, like the MIT mini-Cheetah, but fully open source.",{},,,10.0,0,False,,
64,stanford-quadruped,stanfordroboticsclub/StanfordQuadruped,['mit'],open-source-robots,A low cost quadruped robot with the BoM coming to around $600-900 depending on components.,{},,,3.0,0,False,,
65,open-dynamic-robot-initiative,,,open-source-robots,An Open Torque-Controlled Modular Robot Architecture for Legged Locomotion Research.,,,,,0,False,,
66,open-duck-mini,apirrone/Open_Duck_Mini,['apache'],open-source-robots,A miniaturized version of Disneys BDX droid.,{},,,6.0,0,False,,
67,poppy-humanoid,poppy-project/poppy-humanoid,,open-source-robots,An open-source and 3D printed humanoid robot.,{},,,11.0,0,False,,
68,bam,Rhoban/bam,['mit'],actuators-sensors,A handy tool for characterizing actuator friction for better modeling for simulations.,{},,,8.0,0,False,,
69,openmv,,,actuators-sensors,"The OpenMV project creates low-cost, extensible, Python powered, machine vision modules - the Arduino of Machine Vision.",,,,,0,False,,
70,open-source-leg,,,bionics,Open-source actuated leg prosthetics with a total cost of approx. $28.5k to produce.,,,,,0,False,,
71,soft-robotics-toolkit,,,soft-robotics,"The Soft Robotics Toolkit is a collection of shared resources to support the design, fabrication, modeling,..",,,,,0,False,,
72,punyo,,,soft-robotics,Soft Bubble Grippers for Robust and Perceptive Manipulation from Toyota Research Institute.,,,,,0,False,,
73,cycloidal-generator,mawildoer/cycloidal_generator,,manufacturing,A cycloidal reduction drive generator script for Autodesk Fusion360.,{},,,3.0,0,False,,
74,pointcloudprinter,marian42/pointcloudprinter,['mit'],manufacturing,Prepare pointclouds from aerial LIDAR scans for 3D printing.,{},,,,0,False,,
75,linuxcnc,,,manufacturing,"Open Source software that can drive milling machines, lathes, 3d printers, laser cutters, plasma cutters, robot arms,..",,,,,0,False,,
76,freeloader,,,manufacturing,"A low cost, desktop size, open source, universal testing machine, designed for inexpensive high-throughput material..",,,,,0,False,,
77,diy-cnc-machine,maxvfischer/DIY-CNC-machine,,manufacturing,A very thorough DIY build of a CNC machine based on a Makita router with a very permissive licence.,{},,,,0,False,,
78,kitti-vision-benchmark,,,datasets,"Vision benchmark captured in Karlsruhe, contains data from LiDAR, GPS and stereo cameras.",,,,,0,False,,
79,flir-thermal-dataset,,,datasets,Synced annotated thermal imagery and non-annotated RGB imagery for reference for ADAS research. Contains over 14k..,,,,,0,False,,
80,nuscenes,,,datasets,"Autonomous vehicle dataset that includes approximately 1.4M camera images, 390k LIDAR sweeps, 1.4M RADAR sweeps and..",,,,,0,False,,
81,uzh-fpv-drone-racing,,,datasets,"Quadrotor racing dataset that contains information from event camera, RGB camera and groundtruth from Leica Nova MS60..",,,,,0,False,,
82,partnet,,,datasets,"A consistent, large-scale dataset of 3D objects annotated with fine-grained, instance-level, and hierarchical 3D part..",,,,,0,False,,
83,utbm-robocar-dataset,,,datasets,"A dataset containing a robotic car sensor data with 2 stereo cameras, 3 lidars, radar, GNSS receiver with RTK base..",,,,,0,False,,
84,urbanloco,weisongwen/UrbanLoco,,datasets,Robotic car dataset providing sensor information as a ROS bag.,{},,,4.0,0,False,,
85,libre-dataset,,,datasets,LiDAR Benchmark Reference dataset comparing 12 LiDAR models across various scenarios and conditions for self-driving..,,,,,0,False,,
86,ustc-flicar-dataset,,,datasets,A heavy-duty VTOL dataset captured by a robotic bucket truck.,,,,,0,False,,
87,open-x-embodiment,,,datasets,A large open-source real robot dataset with 1M+ real robot trajectories spanning 22 robot embodiments.,,,,,0,False,,
88,l2d-dataset,,,datasets,A huge dataset captured by driving schools in Germany for autonomous driving research.,,,,,0,False,,
89,visual-servoing-platform,,,libraries-frameworks,A cross-platform library that allows prototyping and developing applications using visual tracking and visual servoing..,,,,,0,False,,
90,point-cloud-library,,,libraries-frameworks,"Standalone, large scale, open project for 2D/3D image and point cloud processing.",,,,,0,False,,
91,opencv,,,libraries-frameworks,Open Source computer vision library.,,,,,0,False,,
92,robotics-library,roboticslibrary/rl,['cpp'],libraries-frameworks,"Self-contained C++ library for rigid body kinematics and dynamics, motion planning, and control.",{},,,5.0,0,False,,
93,raisim,,,libraries-frameworks,A physics for rigid-body dynamics simulation.,,,,,0,False,,
94,evo,,['python'],libraries-frameworks,A Python package for the evaluation of odometry and SLAM.,,,,,0,False,,
95,mrpt,,,libraries-frameworks,Mobile Robot Programming Toolkit provides developers with portable and well-tested applications and libraries covering..,,,,,0,False,,
96,moos,,,libraries-frameworks,A C++ cross platform middleware for robotics research.,,,,,0,False,,
97,openshc,csiro-robotics/syropod_highlevel_controller,,libraries-frameworks,A versatile multilegged robot controller capable of generating body poses and gaits for quasi-static multilegged robots.,{},,,19.0,0,False,,
98,segment-anything,facebookresearch/segment-anything,['apache'],libraries-frameworks,The Segment Anything Model (SAM) produces high quality object masks from input prompts such as points or boxes.,{},,,17.0,0,False,,
99,gmapping,,,libraries-frameworks,GMapping is a highly efficient Rao-Blackwellized particle filter to learn grid maps from laser range data.,,,,,0,False,,
100,tinyslam,,,libraries-frameworks,"ROS implementation of tinySLAM, one of the simplest and lightweight SLAM methods.",,,,,0,False,,
101,xivo,ucla-vision/xivo,['cpp'],libraries-frameworks,A library for visual-inertial odometry and mapping.,{},,,6.0,0,False,,
102,kimera,MIT-SPARK/Kimera,['cpp'],libraries-frameworks,C++ library for real-time metric-semantic simultaneous localization and mapping.,{},,,3.0,0,False,,
103,lama,iris-ua/iris_lama,['cpp'],libraries-frameworks,A lightweight Localization and Mapping library that should run on Raspberry Pi 3B+.,{},,,5.0,0,False,,
104,rtab-map,,,libraries-frameworks,"RTAB-Map (Real-Time Appearance-Based Mapping) is a RGB-D, Stereo and Lidar Graph-Based SLAM approach.",,,,,0,False,,
105,basalt,,,libraries-frameworks,Library for visual-inertial odometry and mapping.,,,,,0,False,,
106,lio-sam,TixiaoShan/LIO-SAM,['cpp'],libraries-frameworks,A real-time lidar-inertial odometry package with very promising results for multi-beam LiDARS.,{},,,12.0,0,False,,
107,v-rep,,,simulators,A robot simulator with integrated development environment based on a distributed control architecture.,,,,,0,False,,
108,argos,,,simulators,ARGoS is a multi-physics robot simulator that can simulate large-scale swarms of robots efficiently.,,,,,0,False,,
109,gazebo,,,simulators,Open Source simulator that plays nicely with ROS developed by OSRF. Supports 4 physics engines.,,,,,0,False,,
110,carla,,,simulators,Open-source simulator for autonomous driving research.,,,,,0,False,,
111,openrave,,,simulators,"OpenRAVE provides an environment for testing, developing, and deploying motion planning algorithms in real-world..",,,,,0,False,,
112,flightmare,uzh-rpg/flightmare,['mit'],simulators,An Open Flexible Quadrotor Simulator.,{},,,7.0,0,False,,
113,mvsim,MRPT/mvsim,['cpp'],simulators,"Lightweight, dynamical simulator for 2D vehicles and robots.",{},,,9.0,0,False,,
114,isaac-sim,isaac-sim/IsaacSim,,simulators,"Proprietary simulator from NVIDIA with advanced physics, AI-based features, and GPU-accelerated capabilities.",{},,,5.0,0,False,,
115,moos-ivp,,,middleware,"MOOS-IvP is a set of open source C++ modules for providing autonomy on robotic platforms, particularly autonomous..",,,,,0,False,,
116,viam,,,middleware,"Viam is an open source software platform thats modular, pluggable, and designed to work with any hardware with..",,,,,0,False,,
117,towr,,"['ros', 'cpp']",ros,"A light-weight, Eigen-based C++ library for trajectory optimization for legged robots.",,,,,0,False,,
118,rosshow,dheera/rosshow,"['ros', 'python']",ros,Visualize ROS topics inside a terminal with Unicode/ASCII art.,{},,,11.0,0,False,,
119,vector-ros,betab0t/vector_ros,['ros'],ros,ROS package for Anki Vector home robot.,{},,,,0,False,,
120,smacc,reelrbtx/SMACC,"['ros', 'cpp']",ros,"An event-driven, asynchronous, behavioral state machine library for real-time ROS applications written in C++.",{},,,13.0,0,False,,
121,robot-runner,S2-group/robot-runner,['mit'],ros,Robot Runner (RR) is a tool to automatically execute measurement-based experiments on robotics software.,{},,,5.0,0,False,,
122,allan-variance-ros,ori-drs/allan_variance_ros,['ros'],ros,ROS package which loads a rosbag of IMU data and computes Allan Variance parameters.,{},,,8.0,0,False,,
123,voxgraph,ethz-asl/voxgraph,"['ros', 'cpp']",ros,Globally consistent volumetric mapping framework representing the world as a collection of Signed Distance Function..,{},,,7.0,0,False,,
124,wavemap,ethz-asl/wavemap,"['ros', 'cpp']",ros,"Fast, efficient and accurate multi-resolution, multi-sensor 3D occupancy mapping.",{},,,8.0,0,False,,
125,jupyterlab-urdf,ihuicatl/jupyterlab-urdf,"['ros', 'python']",ros,An extension to display URDF in JupyterLab.,{},,,9.0,0,False,,
126,quad-sdk,robomechanics/quad-sdk,"['ros', 'mit']",ros,ROS-based framework for agile quadrupedal locomotion.,{},,,12.0,0,False,,
127,race-stack,ForzaETH/race_stack,"['ros', 'mit']",ros,Full stack for F1TENTH autonomous scaled cars based on ROS 1.,{},,,13.0,0,False,,
128,rosflight,,,ros,"ROSflight is an autopilot system designed from the ground up with researchers in mind, and for easy integration with..",,,,,0,False,,
129,rpg-quadrotor-control,uzh-rpg/rpg_quadrotor_control,['ros'],ros,A complete framework for flying quadrotors based on control algorithms developed by the Robotics and Perception Group..,{},,,12.0,0,False,,
130,transitive,transitiverobotics/transitive,"['ros', 'apache']",ros,"A full-stack framework for robotic capabilities that connect robot, cloud, and web.",{},,,3.0,0,False,,
131,autoware,,,ros,The Autoware Foundation is a non-profit organization supporting open-source projects enabling self-driving mobility.,,,,,0,False,,
132,ros-industrial,,,ros,ROS-Industrial is an open-source project that extends the advanced capabilities of ROS software to industrial relevant..,,,,,0,False,,
133,vesc,,,motor-control,An open source ESC project commonly used in electronics skateboard community and robotics projects like MIT RACECAR..,,,,,0,False,,
134,odrive,,,motor-control,A hobby motor for robotics. Can control two motors at the same time.,,,,,0,False,,
135,stmbl,rene-dev/stmbl,['gpl'],motor-control,AC Servo Driver for STM32F4.,{},,,16.0,0,False,,
136,simplefoc,,,motor-control,Arduino Compatible Open Source Field Oriented Control (FOC) project.,,,,,0,False,,
137,slam-for-dummies,,,education,Introductory document to SLAM and Extended Kalman Filter with example C++ implementation source code.,,,,,0,False,,
138,practical-deep-learning,,,education,Free course on neural networks from fast.ai with 14 lessons.,,,,,0,False,,
139,calibration-desk-reference,,,education,An 80 page long document on sensor calibration from Tangram Vision.,,,,,0,False,,
140,elements-of-robotics,,,education,"Open access book on robotics, directed towards beginners with many algorithmic activities and exercises.",,,,,0,False,,
141,foundations-of-robotics,,,education,"An Open-access book on robotics, rather for beginners.",,,,,0,False,,
142,flying-planes-with-javascript,,,education,Tutorials on integrating with Microsoft Flight Simulator 2020 API that ends with developing some autopilot-like..,,,,,0,False,,
143,ai-gaming-rules,,,other,Examples of AI Gaming the Rules - spreadsheet containing lots of information about algorithms pausing simulation to..,,,,,0,False,,
144,osrtos,,,other,A list of open source Real Time Operating Systems (RTOS).,,,,,0,False,,
145,haptipedia,,,other,"An online, open-source, visualization of a growing database of 105+ haptic devices invented since 1992.",,,,,0,False,,
146,board-db,,,other,A searchable database of single board computers.,,,,,0,False,,
147,fast-introduction-to-robotics,,,other,A hand-picked selection of Robotics resources covering robotics from various angles.,,,,,0,False,,
148,continuum-robot-examples,JohnDTill/ContinuumRobotExamples,['mit'],other,Continuum robots have elastic links which are capable of large-scale continuous deformations. This repo has example..,{},,,3.0,0,False,,
149,ai-incident-database,,,other,A well documented database of AI incidents.,,,,,0,False,,
150,control-challenges,,,other,A set of control challenges that you can solve in the browser using Javascript.,,,,,0,False,,
151,robotics-conferences,,,other,Lists of robotics-related conferences and summer/winter schools.,,,,,0,False,,
152,arduino-library,,,other,A library of thousands of Arduino libraries that contains powerful search capabilities.,,,,,0,False,,
153,makani-documentary,,,other,"Pulling Power from the Sky: The Story of Makani - A documentary on Makani, a company that was producing energy from..",,,,,0,False,,
154,robot-revolution-documentary,,,other,How to Start a Robot Revolution - a Red Hat documentary on ROS.,,,,,0,False,,
155,ahundt-awesome-robotics,ahundt/awesome-robotics,,other,Awesome robotics list by ahundt.,{},,,5.0,0,False,,
156,awesome-cloud-robotics,Airbotics/awesome-cloud-robotics,,other,Awesome cloud robotics list.,{},,,,0,False,,
157,awesome-robotics-projects,mjyc/awesome-robotics-projects,,other,Awesome robotics projects list.,{},,,8.0,0,False,,
158,best-of-robot-simulators,knmcguire/best-of-robot-simulators,,other,Best of robot simulators list.,{},,,15.0,0,False,,
159,faze4,PCrnjak/Faze4-Robotic-arm,['mit'],open-source-robots,Small fully 3D printable open source 6 axis robotic arm for research and education.,{},,,2.0,-1,False,3.0,
160,pedro,almtzr/Pedro,['apache'],open-source-robots,"A small, 3D-printed robotic manipulator with 3 Degrees of Freedom.",{},,,2.0,-1,False,3.0,
161,transact,transitiverobotics/transact,"['ros', 'apache']",ros,An open-source robot fleet management dashboard.,{},,,2.0,-1,False,3.0,
162,robotics-501,michiganrobotics/rob501,,education,"ROB 501: Mathematics for Robotics, a graduate-level course at the University of Michigan that introduces applied..",{},,,2.0,-1,False,3.0,
